lipid_metab_node,RNAseq_node,Shortest_path_length,number_of_shortest_paths
lipid107,ENSMUSG00000057181,9,2
lipid107,ENSMUSG00000058056,10,142
lipid107,ENSMUSG00000058301,9,14
lipid107,ENSMUSG00000058587,9,30
lipid107,ENSMUSG00000059495,8,2
lipid107,ENSMUSG00000060961,8,2
lipid107,ENSMUSG00000061331,9,34
lipid107,ENSMUSG00000061755,8,2
lipid107,ENSMUSG00000062949,8,2
lipid107,ENSMUSG00000062981,9,36
lipid107,ENSMUSG00000063077,8,2
lipid107,ENSMUSG00000063382,10,20
lipid107,ENSMUSG00000064294,8,2
lipid107,ENSMUSG00000064337,8,4
lipid107,ENSMUSG00000064339,8,2
lipid107,ENSMUSG00000064345,9,34
lipid107,ENSMUSG00000064367,8,2
lipid107,ENSMUSG00000066406,9,2
lipid107,ENSMUSG00000068220,9,1
lipid107,ENSMUSG00000069892,8,2
lipid107,ENSMUSG00000070594,8,4
lipid107,ENSMUSG00000072294,9,2
lipid107,ENSMUSG00000074422,8,2
lipid107,ENSMUSG00000078427,9,34
lipid107,ENSMUSG00000080542,9,22
lipid107,ENSMUSG00000090836,9,18
lipid108,ENSMUSG00000000056,8,10
lipid108,ENSMUSG00000002028,9,90
lipid108,ENSMUSG00000003039,9,50
lipid108,ENSMUSG00000003813,9,10
lipid108,ENSMUSG00000004207,4,2
lipid108,ENSMUSG00000006005,8,10
lipid108,ENSMUSG00000011960,9,10
lipid108,ENSMUSG00000015759,9,30
lipid108,ENSMUSG00000016756,8,10
lipid108,ENSMUSG00000020154,9,10
lipid108,ENSMUSG00000020224,8,10
lipid108,ENSMUSG00000020250,9,90
lipid108,ENSMUSG00000020608,9,280
lipid108,ENSMUSG00000020609,8,10
lipid108,ENSMUSG00000020709,9,120
lipid108,ENSMUSG00000020721,8,10
lipid108,ENSMUSG00000020863,8,10
lipid108,ENSMUSG00000021039,7,10
lipid108,ENSMUSG00000021149,9,130
lipid108,ENSMUSG00000021243,9,10
lipid108,ENSMUSG00000021408,10,530
lipid108,ENSMUSG00000021413,9,100
lipid108,ENSMUSG00000021549,9,100
lipid108,ENSMUSG00000022141,9,80
lipid108,ENSMUSG00000022205,10,900
lipid108,ENSMUSG00000022383,8,20
lipid108,ENSMUSG00000022387,9,20
lipid108,ENSMUSG00000022521,9,20
lipid108,ENSMUSG00000022911,8,10
lipid108,ENSMUSG00000023852,8,20
lipid108,ENSMUSG00000024083,9,40
lipid108,ENSMUSG00000024096,3,9
lipid108,ENSMUSG00000024122,9,10
lipid108,ENSMUSG00000024188,9,90
lipid108,ENSMUSG00000024384,9,10
lipid108,ENSMUSG00000024498,8,10
lipid108,ENSMUSG00000024526,4,6
lipid108,ENSMUSG00000024921,9,10
lipid108,ENSMUSG00000024975,9,20
lipid108,ENSMUSG00000025194,9,40
lipid108,ENSMUSG00000025364,9,30
lipid108,ENSMUSG00000025809,8,10
lipid108,ENSMUSG00000025860,9,50
