ID,Type,Median Value (experiment1),Median Value (experiment2),Mean Value (experiment1),Mean Value (experiment2),Comparison p-value (experiment1),Comparison p-value (experiment2),Median Log2 Fold Change (experiment1),Median Log2 Fold Change (experiment2),Mean Log2 Fold Change (experiment1),Mean Log2 Fold Change (experiment2),Median Log2 Fold Change Direction (experiment1),Median Log2 Fold Change Direction (experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
OTU_191811,microbe,3.8689282845,2.5945564369999996,4.73845486512,2.6760592050999996,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_192206,microbe,6.553636766,2.6849438075,18.04222678092,4.03639850728,0.031746031746031744,0.15079365079365079,-3.522810570016056,0.5281785468203672,-2.1993301267184697,0.5487337846195173,-1.0,1.0,False,0.030358976820034227,0.12666905875156428
OTU_192342,microbe,0.0,nan,1.0460141760400001,nan,0.14245669739409875,nan,-0.11888977996579296,nan,0.31345012260459487,nan,-1.0,nan,False,0.14245669739409872,0.27183429425581906
OTU_192598,microbe,44.31390434,14.69067116,48.48365567594001,15.331234892740003,0.30952380952380953,0.8412698412698413,3.5661372055281007,0.0905271059144576,1.5763206233588893,-0.43844094513775567,1.0,1.0,True,0.6107683135875269,0.6955491843121411
OTU_193064,microbe,2.120453259,1.8120655934999998,2.52881230264,3.248678779240001,0.0119252335930176,0.5476190476190477,-0.46992405199094206,-1.4656424379909239,-1.4787093742443593,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_193620,microbe,40.54929354,8.2240074975,61.68772204768001,9.263155223340002,0.09523809523809523,0.09523809523809523,2.2758297299290318,-1.9917648547864952,2.797822830713502,-2.2325522085548344,1.0,-1.0,False,0.05172562824786354,0.1486357390142467
OTU_193672,microbe,152.32896119999998,41.5864583,706.9064944081999,164.53075535422,0.023185603494735977,0.011667312343319386,1.9204932391548841,1.9379684361244727,1.6703869129990208,2.7391168087575752,1.0,1.0,True,0.0024928343697260854,0.09219122893063604
OTU_194151,microbe,14.18891131,8.263904547,143.29186093524,45.140804794699996,0.05555555555555555,0.0119252335930176,0.7327873773719866,1.3469004262356306,0.8880883492191661,1.6823243806002777,1.0,1.0,True,0.00551175711281708,0.09219122893063604
OTU_194504,microbe,0.0,7.636559944,5.92157778326,8.186308128859999,0.30952380952380953,1.0,-0.2241606792568332,0.15252331862632945,-0.2958215960434196,0.6614715797150819,-1.0,1.0,False,0.6725086521591385,0.7551633468379152
OTU_194662,microbe,46.834420855000005,22.95393961,45.188905779719995,20.36561464972,0.5476190476190477,0.2222222222222222,-0.11044090829786526,0.41683475564479927,0.2994672955151109,0.7627691370583082,-1.0,1.0,False,0.3780095998941868,0.525812661444509
