ID,RD_509,RD_510,RD_511,RD_512,RD_513,RD_514,RD_515,RD_516,WDO_517,WDO_518,WDO_519,WDO_520,WDO_521,WDO_522,WDO_523,WDO_524,WDE_525,WDE_526,WDE_527,WDE_528,WDE_529,WDE_530,WDE_531,WDE_532,WDD_533,WDD_534,WDD_535,WDD_536,WDD_537,WDD_538,WDD_539,WDD_540
ENSMUSG00000026353,76.21456121,129.9909821,87.49980554,80.16017175,101.5713685,95.83006679,69.98075815,61.18625349,165.5682414,154.8209505,184.515672,172.440645,160.89526,156.2355865,181.8656106,187.1676344,142.3474456,179.3009561,99.21043229,145.8236983,81.98832829,99.31241481,102.548432,107.2625132,95.16116745,112.390876,151.0171612,114.6202432,104.2804898,110.4264808,107.7267426,101.2381733
ENSMUSG00000044573,61.88899219,70.97786404,67.10134987,91.9721901,66.96242355,84.59849596,68.8808616,44.05367782,121.8517574,114.2471823,150.9327313,132.3355999,131.0890836,116.7433892,125.6807341,175.8346685,117.8152743,154.412269,88.30826353,104.1646164,68.01950815,75.63654372,91.54207462,78.31197312,83.33289782,106.0394125,106.8357835,90.25276484,70.63262745,82.73681913,86.57756134,81.04786291
ENSMUSG00000031722,5503.333001,4324.134501,4576.285444,3196.915607,5503.333001,3613.165857,4324.134501,5045.989856,7236.451174,12871.25595,7236.451174,7236.451174,7863.94128,10846.52669,8598.008947,6839.125982,6494.517846,5503.333001,7863.94128,8598.008947,10846.52669,10037.6771,5831.281321,7236.451174,7236.451174,7236.451174,7863.94128,7863.94128,9259.869627,10037.6771,6839.125982,7863.94128
ENSMUSG00000035469,26.24893925,41.29951856,34.62796462,31.91664527,39.55517249,28.91015995,34.65767949,43.23125093,64.14700352,46.99935362,52.01100554,67.3143714,74.12348388,96.10084841,64.78887446,66.65589515,68.1637527,61.04839937,36.21556729,59.85968965,37.1865452,31.69500654,37.26973948,50.0218057,43.76202871,57.6549448,62.56787732,51.70648521,47.87781366,48.88717233,45.1091173,36.42901448
ENSMUSG00000020863,77.90636024,125.7792618,110.6818722,110.3221526,124.4832734,119.1297699,91.94661301,134.258591,199.7024217,191.0930512,214.3292474,216.9188384,206.7958857,222.3859289,206.6872592,212.2777881,176.1523437,200.2334524,99.65091561,175.3293847,105.2831571,117.1246331,114.9690548,129.2184517,118.8000155,148.2372634,155.5223409,119.3756521,139.0474418,133.8432061,122.6726452,115.7490615
ENSMUSG00000039704,23.99715622,44.54107864,27.80366178,25.84764667,34.0156967,32.12355524,21.96762787,23.74267334,46.54542266,52.81675719,43.54159554,53.63946819,52.59114984,69.05650983,65.02070543,50.7971476,54.65272695,55.27636166,26.84669793,39.85925308,24.41447882,32.27409928,28.58891847,34.4165678,32.56496054,43.33752562,50.38559804,44.29798493,33.30360959,39.86181395,34.71818314,27.31832665
ENSMUSG00000003039,101.0503503,120.5461849,113.5757584,107.877647,130.8102258,106.7996488,93.05464475,103.0965458,165.0535663,162.4119429,198.6988923,210.2240823,244.7724173,256.4569974,201.9320749,184.5916004,200.326701,182.6715537,103.485306,136.5025476,128.9884397,117.9715414,122.6726452,126.7978062,116.4435477,130.6395651,148.9331338,118.8729266,127.6643046,150.9327313,125.519139,110.9617692
ENSMUSG00000031060,18.85137749,24.23738604,21.74246763,22.79183225,26.64379447,23.20306449,15.98748325,14.08073861,32.25472264,32.47406756,41.3154009,43.67470316,38.57484513,47.9139193,34.66750314,33.82422881,35.20497962,35.20497962,19.0339675,28.61773677,18.58669506,21.47561076,19.51062354,22.08243138,21.62731498,20.36997403,30.82678427,22.47452141,22.79183225,22.86270636,26.2198334,20.25793157
ENSMUSG00000026743,33.84210437,54.287674,44.73272134,33.80464419,51.65548174,41.01936419,28.07077787,54.73275026,76.06837517,65.4111648,64.48122072,71.10160642,79.44105959,106.2611608,89.94273105,67.86597003,64.53776024,79.44105959,34.66750314,65.09689725,35.85617865,42.30165894,39.87772075,48.94612451,47.49211547,64.93196287,56.87087838,49.46120696,49.29499185,52.77228242,45.5923082,44.90861458
ENSMUSG00000032727,7.077500547,8.724267185,13.47173374,14.3376752,18.80074232,13.80355901,11.23565879,22.85691882,23.15103853,20.68184444,26.84159643,29.24757568,25.0081355,19.29558459,25.38433098,28.91637912,25.67265338,23.12251512,11.98435176,17.07935081,11.80210157,18.61357474,14.96387503,17.4198526,17.81746887,28.34212565,21.2472069,20.21340797,18.99905457,22.44572702,15.32327844,12.68265707
ENSMUSG00000032407,41.77561979,57.21047187,40.37927364,40.43738416,38.46274744,45.35212086,36.38045005,27.41332916,67.62083367,71.97065598,79.60245486,80.04423996,70.88689379,60.28839088,73.03559391,83.63513225,71.6997608,72.68187079,44.91670742,67.22099246,32.10636543,40.49235311,44.91104428,46.70351017,40.68665021,73.15099145,51.89434964,43.77814565,41.29951856,39.70357463,39.18491435,38.43849957
ENSMUSG00000004207,583.4656576,572.0152305,607.6096836,600.8598592,609.0341521,610.4770925,636.0877061,566.9016531,918.9284269,1177.929093,1167.613014,1077.714723,1177.929093,839.1483938,1002.538641,1207.088887,777.3426736,875.0723275,1034.827526,1084.933408,1022.971999,804.3119219,950.8866656,821.3500294,875.0723275,745.2078716,889.9276588,807.7351792,1040.976957,1043.102393,821.3500294,844.3412836
ENSMUSG00000026740,39.08417834,57.85599008,45.8401009,45.49547614,45.82281516,49.31310629,36.99679869,37.21359061,75.62247732,70.39488518,78.69522753,83.10615253,81.22158078,88.17745867,81.39219363,70.21629368,58.21428266,70.25171244,37.62299164,64.71525157,40.06229492,46.328111,40.50258971,42.51868747,43.54159554,57.6549448,61.29573257,46.46062214,50.60500698,48.74692064,50.43955968,44.90861458
ENSMUSG00000057181,21.27913976,29.98984728,26.0373914,28.38893003,34.0156967,30.71565332,18.85137749,36.37312288,47.03937196,37.85461725,51.80181494,44.25362859,55.40674255,61.50838098,51.62629184,43.949373,48.21193805,52.39435865,21.74246763,38.75090036,29.60507917,32.72045495,30.91802856,34.08281316,35.54235197,49.39660988,46.06186489,36.88881672,47.87781366,38.97215126,33.09742908,27.31832665
ENSMUSG00000027708,41.77561979,76.26592705,59.59641118,48.02282009,61.52335574,61.07247156,49.37609951,52.96386411,99.83681231,92.33961535,96.45864626,95.24054746,103.1548819,104.2804898,97.8600202,90.40375635,86.90409864,116.2583318,60.69600646,97.38386449,54.25843668,67.29417523,60.11108797,82.52808046,67.41232831,95.27327238,95.27327238,79.11822659,81.7394684,78.72994111,67.58599352,57.12645627
ENSMUSG00000021243,62.20650024,123.4552649,92.968977,73.4667655,112.390876,83.29707211,63.26608183,103.0965458,137.9008792,119.8877456,153.1912552,150.8151295,173.7727208,195.1819204,162.5796591,137.0431259,160.8100972,173.4264044,97.14843602,140.6762166,89.14596459,97.38386449,86.40165853,118.0444825,103.3192306,144.618135,155.943161,115.7137124,105.967839,136.3852224,96.77977226,97.52790648
ENSMUSG00000025364,128.7501641,158.5969528,141.0334417,113.6177199,165.5682414,112.1102387,111.7752914,120.012294,194.6030751,188.9823785,221.5116843,222.3859289,237.6522038,269.2485557,256.8092802,211.880289,229.3718924,194.961086,104.1911802,170.8395712,107.6693866,126.8821745,114.4135415,141.5327547,129.2785358,143.1641215,160.7249793,127.2198217,138.2656097,155.7840163,118.8000155,132.1669402
